date,PostgreSQL,MySQL,Microsoft SQL Server,Oracle,MariaDB,MongoDB,AWS Database Services,Redis,Firebase
2021-09-17,529,1337,1190,166,65,776,170,167,70
2021-09-24,504,1351,1187,171,59,774,164,168,74
2021-10-01,498,1337,1202,189,61,783,179,177,76
2021-10-08,515,1338,1235,171,66,772,181,181,70
2021-10-15,518,1345,1243,193,60,793,186,187,76
2021-10-22,505,1362,1200,207,65,768,166,187,77
2021-10-29,524,1360,1206,222,63,777,179,194,78
2021-11-05,529,1319,1220,225,64,771,161,172,71
2021-11-12,535,1329,1251,224,64,785,166,173,83
2021-11-19,531,1324,1233,215,55,773,160,175,68
2021-11-26,555,1364,1183,205,57,779,148,176,80
2021-12-03,534,1362,1175,202,54,764,152,175,77
2021-12-10,507,1377,1144,195,55,776,151,164,73
2021-12-17,502,1310,1093,195,59,762,154,176,84
2021-12-24,501,1298,1076,199,55,769,154,192,80
2021-12-31,519,1252,1057,192,56,733,151,183,73
2022-01-07,534,1299,1077,176,55,783,161,201,77
2022-01-14,534,1289,1102,170,56,786,177,204,79
2022-01-21,620,1388,1204,166,59,834,184,214,94
2022-01-28,709,1483,1339,174,65,850,190,206,104
2022-02-04,753,1524,1422,191,67,880,211,226,103
2022-02-11,800,1594,1495,183,70,861,221,221,113
2022-02-18,830,1649,1512,170,75,863,237,209,120
2022-02-25,836,1648,1525,167,76,827,244,179,121
2022-03-04,648,1522,1382,169,75,798,204,185,117
