date,React,Angular,Blazor,Vue,jQuery,Ember,Meteor,Svelte,Backbone
2021-09-17,1687,1303,14,611,1105,34,15,9,30
2021-09-24,1717,1343,14,630,1122,31,15,8,30
2021-10-01,1721,1355,14,634,1111,29,15,10,30
2021-10-08,1718,1361,15,650,1104,31,14,14,33
2021-10-15,1750,1377,13,636,1146,31,13,14,30
2021-10-22,1718,1362,13,609,1124,30,14,14,31
2021-10-29,1741,1398,10,634,1138,31,13,13,31
2021-11-05,1720,1401,13,618,1152,29,13,11,28
2021-11-12,1760,1422,19,605,1169,29,12,12,30
2021-11-19,1750,1391,18,608,1160,28,13,11,27
2021-11-26,1720,1331,18,607,1098,28,12,13,23
2021-12-03,1696,1312,17,612,1062,35,12,21,24
2021-12-10,1676,1306,15,611,1026,33,13,19,19
2021-12-17,1622,1229,12,598,1001,33,11,18,17
2021-12-24,1595,1203,12,596,977,30,11,19,20
2021-12-31,1501,1146,12,582,940,27,11,19,16
2022-01-07,1524,1145,16,558,961,26,10,19,17
2022-01-14,1568,1206,20,577,994,27,10,19,19
2022-01-21,1689,1324,21,640,1057,28,12,20,21
2022-01-28,1817,1431,21,723,1124,23,17,22,26
2022-02-04,1853,1418,25,737,1151,22,18,23,25
2022-02-11,1934,1438,26,744,1198,18,15,23,24
2022-02-18,1940,1447,20,748,1218,19,16,24,26
2022-02-25,1953,1453,20,748,1203,19,15,17,22
2022-03-04,1900,1371,15,649,1161,22,15,15,21
2022-03-11,1938,1397,17,685,1199,25,14,17,21
2022-03-18,1994,1395,17,683,1160,26,18,12,20
2022-03-25,2049,1450,26,703,1177,27,19,13,23
2022-04-01,2090,1517,27,712,1203,24,19,11,23
2022-04-08,2148,1521,30,716,1182,25,17,12,26
2022-04-22,2136,1503,29,736,1152,32,14,9,28
2022-04-29,2140,1526,32,739,1198,37,12,11,27
2022-05-06,2071,1548,34,758,1200,36,10,14,28
2022-05-13,2055,1543,29,755,1212,36,12,15,24
